entry_date,exit_date,entry_price,exit_price,pnl,return_pct
2022-05-18 04:00:00,2022-05-25 04:00:00,61.2,64.07,4689.542483660115,0.04689542483660115
2022-06-14 04:00:00,2022-06-24 04:00:00,59.23,63.04,6432.551072091849,0.0643255107209185
2022-08-30 04:00:00,2022-10-18 04:00:00,62.15,56.44,-9187.449718423171,-0.09187449718423171
2022-10-20 04:00:00,2022-10-21 04:00:00,55.08,55.96,1597.6761074800338,0.01597676107480034
2023-01-12 05:00:00,2023-02-01 05:00:00,61.21,61.33,196.04639764743905,0.0019604639764743905
2023-02-03 05:00:00,2023-02-13 05:00:00,59.83,60.6,1286.9797760320962,0.012869797760320961
2023-02-16 05:00:00,2023-03-06 05:00:00,59.22,60.36,1925.0253292806494,0.019250253292806493
2023-05-22 04:00:00,2023-06-15 04:00:00,61.51,61.23,-455.2105348723804,-0.004552105348723803
2023-06-29 04:00:00,2023-07-05 04:00:00,60.02,61.03,1682.7724091969308,0.01682772409196931
2023-07-07 04:00:00,2023-07-14 04:00:00,59.76,60.9,1907.6305220883544,0.019076305220883546
2023-08-22 04:00:00,2023-10-20 04:00:00,60.06,54.57,-9140.859140859144,-0.09140859140859144
2024-04-04 04:00:00,2024-04-19 04:00:00,59.3,60.17,1467.1163575042235,0.014671163575042235
2024-10-07 04:00:00,2024-11-25 05:00:00,69.01,64.38,-6709.172583683538,-0.06709172583683537
2024-12-04 05:00:00,2024-12-12 05:00:00,62.21,63.84,2620.157530943582,0.026201575309435822
2024-12-30 05:00:00,2025-01-16 05:00:00,62.03,62.25,354.6670965661758,0.003546670965661758
2025-05-13 04:00:00,2025-05-16 04:00:00,68.96,72.0,4408.352668213467,0.044083526682134666
2025-06-17 04:00:00,2025-06-30 04:00:00,69.62,70.75,1623.0968112611251,0.016230968112611252
2025-07-28 04:00:00,2025-08-06 04:00:00,68.09,69.51,2085.4751064767242,0.020854751064767245
2025-09-05 04:00:00,2025-10-07 04:00:00,67.96,66.79,-1721.6009417304113,-0.017216009417304116
2025-12-11 05:00:00,2026-01-09 05:00:00,69.11,70.51,2025.7560410939163,0.020257560410939165
