entry_date,exit_date,entry_price,exit_price,pnl,return_pct
2022-04-26 04:00:00,2022-05-26 04:00:00,382.54,372.46,-2635.018560150583,-0.02635018560150583
2022-06-10 04:00:00,2022-07-07 04:00:00,358.27,357.5,-214.92170709241128,-0.0021492170709241126
2022-08-30 04:00:00,2022-09-12 04:00:00,366.03,377.86,3231.975521132159,0.03231975521132159
2022-09-15 04:00:00,2022-10-18 04:00:00,358.68,340.97,-4937.548790007801,-0.04937548790007801
2022-12-19 05:00:00,2023-01-06 05:00:00,350.81,356.59,1647.6155183717603,0.016476155183717603
2023-03-09 05:00:00,2023-03-21 04:00:00,359.84,367.88,2234.32636727435,0.0223432636727435
2023-08-16 04:00:00,2023-08-29 04:00:00,403.99,412.64,2141.1421074779023,0.021411421074779023
2023-09-21 04:00:00,2023-10-10 04:00:00,397.92,399.24,331.72496984318286,0.0033172496984318284
2023-10-19 04:00:00,2023-11-02 04:00:00,391.87,395.78,997.7798759792706,0.009977798759792707
2024-04-15 04:00:00,2024-04-29 04:00:00,463.61,468.84,1128.103362740226,0.011281033627402258
2024-07-25 04:00:00,2024-08-13 04:00:00,494.78,498.21,693.237398439712,0.00693237398439712
2024-12-18 05:00:00,2025-01-15 05:00:00,539.14,545.05,1096.1902288830302,0.0109619022888303
2025-02-27 05:00:00,2025-03-24 04:00:00,537.97,529.39,-1594.884473111891,-0.015948844731118912
2025-03-28 04:00:00,2025-04-24 04:00:00,510.8,502.41,-1642.5215348472957,-0.016425215348472955
2025-11-18 05:00:00,2025-11-25 05:00:00,607.0,620.66,2250.411861614492,0.022504118616144923
2026-02-05 05:00:00,2026-02-06 05:00:00,623.1,635.24,1948.3229016209254,0.019483229016209254
