entry_date,exit_date,entry_price,exit_price,pnl,return_pct
2022-04-26 04:00:00,2022-05-26 04:00:00,416.1,405.31,-2593.126652247061,-0.025931266522470606
2022-06-10 04:00:00,2022-07-07 04:00:00,389.8,388.99,-207.7988712160088,-0.002077988712160088
2022-08-30 04:00:00,2022-09-12 04:00:00,398.21,410.97,3204.3394188995876,0.03204339418899588
2022-09-15 04:00:00,2022-10-18 04:00:00,390.12,371.13,-4867.733005229163,-0.04867733005229163
2022-12-19 05:00:00,2023-01-06 05:00:00,380.02,388.08,2120.9410031051,0.021209410031051004
2023-03-09 05:00:00,2023-03-21 04:00:00,391.56,398.91,1877.1069567882375,0.018771069567882374
2023-08-16 04:00:00,2023-08-29 04:00:00,439.64,449.16,2165.408061140942,0.021654080611409422
2023-09-21 04:00:00,2023-10-10 04:00:00,431.39,434.54,730.1977329099038,0.007301977329099038
2023-10-20 04:00:00,2023-11-02 04:00:00,421.19,430.76,2272.133716375031,0.02272133716375031
2024-04-15 04:00:00,2024-04-29 04:00:00,504.45,510.06,1112.1022896223637,0.011121022896223636
2024-07-25 04:00:00,2024-08-13 04:00:00,538.41,542.04,674.2073884214624,0.006742073884214624
2024-12-18 05:00:00,2024-12-24 05:00:00,586.28,601.3,2561.9158081462756,0.025619158081462753
2025-01-02 05:00:00,2025-01-15 05:00:00,584.64,592.78,1392.309797482209,0.01392309797482209
2025-02-27 05:00:00,2025-03-24 04:00:00,585.05,574.08,-1875.0534142380848,-0.018750534142380846
2025-03-28 04:00:00,2025-04-02 04:00:00,555.66,564.52,1594.500233956019,0.01594500233956019
2025-04-03 04:00:00,2025-04-24 04:00:00,536.7,546.69,1861.3750698714382,0.01861375069871438
2025-11-18 05:00:00,2025-11-25 05:00:00,660.08,675.02,2263.362016725236,0.022633620167252365
2026-02-05 05:00:00,2026-02-06 05:00:00,677.62,690.62,1918.4793837253917,0.019184793837253918
