entry_date,exit_date,entry_price,exit_price,pnl,return_pct
2022-04-25 04:00:00,2022-05-24 04:00:00,21.83,20.39,-6596.426935409976,-0.06596426935409977
2022-06-13 04:00:00,2022-06-16 04:00:00,19.5,20.24,3794.8717948717867,0.03794871794871787
2022-06-23 04:00:00,2022-07-27 04:00:00,19.37,17.6,-9137.84202374806,-0.09137842023748062
2022-08-19 04:00:00,2022-09-12 04:00:00,17.55,18.17,3532.7635327635385,0.03532763532763538
2022-10-14 04:00:00,2022-10-21 04:00:00,16.81,17.76,5651.397977394425,0.056513979773944255
2023-02-03 05:00:00,2023-03-13 04:00:00,20.57,20.0,-2771.0257656781737,-0.027710257656781735
2023-05-12 04:00:00,2023-06-08 04:00:00,22.02,22.3,1271.5712988192604,0.012715712988192605
2023-06-21 04:00:00,2023-07-12 04:00:00,20.84,22.15,6285.988483685214,0.06285988483685215
2023-08-07 04:00:00,2023-08-22 04:00:00,21.21,21.46,1178.6892975011785,0.011786892975011787
2023-09-08 04:00:00,2023-09-22 04:00:00,21.01,21.58,2712.9938124702367,0.027129938124702366
2023-09-27 04:00:00,2023-10-13 04:00:00,20.7,20.78,386.47342995169976,0.0038647342995169975
2023-12-11 05:00:00,2023-12-14 05:00:00,20.91,22.15,5930.1769488283035,0.05930176948828304
2024-01-03 05:00:00,2024-01-29 05:00:00,21.06,21.21,712.2507122507224,0.007122507122507224
2024-02-07 05:00:00,2024-02-12 05:00:00,20.33,20.76,2115.1008362026723,0.021151008362026723
2024-02-13 05:00:00,2024-02-15 05:00:00,20.2,20.94,3663.366336633673,0.036633663366336736
2024-07-25 04:00:00,2024-08-15 04:00:00,25.41,25.86,1770.9563164108592,0.01770956316410859
2024-11-11 05:00:00,2024-12-03 05:00:00,27.97,28.28,1108.3303539506696,0.011083303539506695
2024-12-18 05:00:00,2025-01-08 05:00:00,26.85,27.4,2048.417132216004,0.02048417132216004
2025-04-03 04:00:00,2025-04-16 04:00:00,28.89,29.76,3011.4226375908656,0.030114226375908652
